"ENTITY_CD","ENTITY_NAME","YEAR","SUBJECT","NO_NYSTP","NYSESLAT_NO_NYSTP"
"000000000001","NYC Public Schools",2013,"Grade 3 ELA",1127,1155
"000000000001","NYC Public Schools",2013,"Grade 4 ELA",1112,1139
"000000000001","NYC Public Schools",2013,"Grade 5 ELA",1166,1186
"000000000001","NYC Public Schools",2013,"Grade 6 ELA",1200,1225
"000000000001","NYC Public Schools",2013,"Grade 7 ELA",1231,1266
"000000000001","NYC Public Schools",2013,"Grade 8 ELA",1135,1176
"000000000002","Large Cities",2013,"Grade 3 ELA",102,101
"000000000002","Large Cities",2013,"Grade 4 ELA",121,121
"000000000002","Large Cities",2013,"Grade 5 ELA",104,105
"000000000002","Large Cities",2013,"Grade 6 ELA",129,132
"000000000002","Large Cities",2013,"Grade 7 ELA",124,125
"000000000002","Large Cities",2013,"Grade 8 ELA",137,141
"000000000003","High Need/Resource Urban-Suburban Districts",2013,"Grade 3 ELA",116,118
"000000000003","High Need/Resource Urban-Suburban Districts",2013,"Grade 4 ELA",131,129
"000000000003","High Need/Resource Urban-Suburban Districts",2013,"Grade 5 ELA",144,144
"000000000003","High Need/Resource Urban-Suburban Districts",2013,"Grade 6 ELA",151,150
"000000000003","High Need/Resource Urban-Suburban Districts",2013,"Grade 7 ELA",161,155
"000000000003","High Need/Resource Urban-Suburban Districts",2013,"Grade 8 ELA",133,132
"000000000004","High Need/Resource Rural Districts",2013,"Grade 3 ELA",8,8
"000000000004","High Need/Resource Rural Districts",2013,"Grade 4 ELA",8,8
"000000000004","High Need/Resource Rural Districts",2013,"Grade 5 ELA",7,7
"000000000004","High Need/Resource Rural Districts",2013,"Grade 6 ELA",5,5
"000000000004","High Need/Resource Rural Districts",2013,"Grade 7 ELA",3,4
"000000000004","High Need/Resource Rural Districts",2013,"Grade 8 ELA",10,10
"000000000005","Average Need Districts",2013,"Grade 3 ELA",116,117
"000000000005","Average Need Districts",2013,"Grade 4 ELA",122,118
"000000000005","Average Need Districts",2013,"Grade 5 ELA",138,137
"000000000005","Average Need Districts",2013,"Grade 6 ELA",136,134
"000000000005","Average Need Districts",2013,"Grade 7 ELA",136,136
"000000000005","Average Need Districts",2013,"Grade 8 ELA",117,121
"000000000006","Low Need Districts",2013,"Grade 3 ELA",99,99
"000000000001","NYC Public Schools",2014,"Grade 4 ELA",1122,1095
"000000000001","NYC Public Schools",2014,"Grade 5 ELA",1134,1107
"000000000001","NYC Public Schools",2014,"Grade 6 ELA",1155,1126
"000000000001","NYC Public Schools",2014,"Grade 7 ELA",1174,1139
"000000000001","NYC Public Schools",2014,"Grade 8 ELA",1132,1101
"000000000001","NYC Public Schools",2014,"Grade 3 ELA",1192,1159
"000000000002","Large Cities",2014,"Grade 6 ELA",146,133
"000000000002","Large Cities",2014,"Grade 7 ELA",116,111
"000000000002","Large Cities",2014,"Grade 5 ELA",141,132
"000000000002","Large Cities",2014,"Grade 4 ELA",160,151
"000000000002","Large Cities",2014,"Grade 3 ELA",149,133
"000000000002","Large Cities",2014,"Grade 8 ELA",170,155
"000000000003","High Need/Resource Urban-Suburban Districts",2014,"Grade 3 ELA",179,175
"000000000003","High Need/Resource Urban-Suburban Districts",2014,"Grade 4 ELA",173,173
"000000000003","High Need/Resource Urban-Suburban Districts",2014,"Grade 5 ELA",184,182
"000000000003","High Need/Resource Urban-Suburban Districts",2014,"Grade 6 ELA",185,179
"000000000003","High Need/Resource Urban-Suburban Districts",2014,"Grade 7 ELA",239,234
"000000000003","High Need/Resource Urban-Suburban Districts",2014,"Grade 8 ELA",225,222
"000000000006","Low Need Districts",2013,"Grade 4 ELA",83,82
"000000000006","Low Need Districts",2013,"Grade 5 ELA",90,91
"000000000006","Low Need Districts",2013,"Grade 6 ELA",67,66
"000000000006","Low Need Districts",2013,"Grade 7 ELA",78,77
"000000000006","Low Need Districts",2013,"Grade 8 ELA",70,70
"000000000007","Charter Schools",2013,"Grade 3 ELA",3,3
"000000000007","Charter Schools",2013,"Grade 4 ELA",2,2
"000000000007","Charter Schools",2013,"Grade 5 ELA",3,3
"000000000007","Charter Schools",2013,"Grade 6 ELA",1,2
"000000000007","Charter Schools",2013,"Grade 7 ELA",2,1
"000000000007","Charter Schools",2013,"Grade 8 ELA",1,1
"000000000005","Average Need Districts",2014,"Grade 3 ELA",152,148
"000000000005","Average Need Districts",2014,"Grade 4 ELA",156,150
"000000000004","High Need/Resource Rural Districts",2014,"Grade 4 ELA",11,10
"000000000004","High Need/Resource Rural Districts",2014,"Grade 5 ELA",9,9
"000000000005","Average Need Districts",2014,"Grade 5 ELA",156,153
"000000000005","Average Need Districts",2014,"Grade 6 ELA",162,160
"000000000005","Average Need Districts",2014,"Grade 7 ELA",157,155
"000000000005","Average Need Districts",2014,"Grade 8 ELA",163,159
"000000000006","Low Need Districts",2014,"Grade 4 ELA",94,91
"000000000006","Low Need Districts",2014,"Grade 8 ELA",113,109
"000000000006","Low Need Districts",2014,"Grade 7 ELA",99,98
"000000000006","Low Need Districts",2014,"Grade 5 ELA",81,77
"000000000006","Low Need Districts",2014,"Grade 3 ELA",97,97
"000000000006","Low Need Districts",2014,"Grade 6 ELA",72,70
"000000000007","Charter Schools",2014,"Grade 3 ELA",8,8
"000000000007","Charter Schools",2014,"Grade 4 ELA",7,7
"000000000007","Charter Schools",2014,"Grade 5 ELA",8,8
"000000000007","Charter Schools",2014,"Grade 6 ELA",2,2
"000000000007","Charter Schools",2014,"Grade 7 ELA",2,2
"000000000007","Charter Schools",2014,"Grade 8 ELA",1,1
"000001000000","ALBANY County",2014,"Grade 6 ELA",20,20
"000001000000","ALBANY County",2014,"Grade 7 ELA",22,21
"000001000000","ALBANY County",2014,"Grade 8 ELA",19,18
"000001000000","ALBANY County",2014,"Grade 3 ELA",15,14
"000001000000","ALBANY County",2014,"Grade 4 ELA",22,22
"000001000000","ALBANY County",2014,"Grade 5 ELA",13,12
"000003000000","BROOME County",2014,"Grade 4 ELA",4,4
"000003000000","BROOME County",2014,"Grade 5 ELA",4,4
"000003000000","BROOME County",2014,"Grade 6 ELA",5,5
"000003000000","BROOME County",2014,"Grade 7 ELA",2,2
"000003000000","BROOME County",2014,"Grade 8 ELA",2,2
"000003000000","BROOME County",2014,"Grade 3 ELA",4,4
"000005000000","CAYUGA County",2014,"Grade 6 ELA",1,1
"000006000000","CHAUTAUQUA County",2014,"Grade 5 ELA",3,3
"000006000000","CHAUTAUQUA County",2014,"Grade 8 ELA",6,6
"000000000004","High Need/Resource Rural Districts",2014,"Grade 6 ELA",10,10
"000000000004","High Need/Resource Rural Districts",2014,"Grade 7 ELA",11,11
"000000000004","High Need/Resource Rural Districts",2014,"Grade 8 ELA",16,16
"000006000000","CHAUTAUQUA County",2014,"Grade 6 ELA",8,7
"000006000000","CHAUTAUQUA County",2014,"Grade 4 ELA",8,8
"000006000000","CHAUTAUQUA County",2014,"Grade 3 ELA",4,3
"000006000000","CHAUTAUQUA County",2014,"Grade 7 ELA",9,9
"000007000000","CHEMUNG County",2014,"Grade 3 ELA",1,1
"000007000000","CHEMUNG County",2014,"Grade 5 ELA",1,1
"000007000000","CHEMUNG County",2014,"Grade 6 ELA",1,1
"000009000000","CLINTON County",2014,"Grade 6 ELA",1,1
"000009000000","CLINTON County",2014,"Grade 8 ELA",1,1
"000010000000","COLUMBIA County",2014,"Grade 3 ELA",1,1
"000010000000","COLUMBIA County",2014,"Grade 4 ELA",1,1
"000013000000","DUTCHESS County",2014,"Grade 4 ELA",8,8
"000013000000","DUTCHESS County",2014,"Grade 7 ELA",2,2
"000013000000","DUTCHESS County",2014,"Grade 8 ELA",9,8
"000013000000","DUTCHESS County",2014,"Grade 3 ELA",3,2
"000013000000","DUTCHESS County",2014,"Grade 6 ELA",2,2
"000013000000","DUTCHESS County",2014,"Grade 5 ELA",6,6
"000016000000","FRANKLIN County",2014,"Grade 4 ELA",1,1
"000018000000","GENESEE County",2014,"Grade 7 ELA",2,2
"000018000000","GENESEE County",2014,"Grade 8 ELA",1,1
"000018000000","GENESEE County",2014,"Grade 6 ELA",1,1
"000019000000","GREENE County",2014,"Grade 7 ELA",1,1
"000022000000","JEFFERSON County",2014,"Grade 4 ELA",3,2
"000022000000","JEFFERSON County",2014,"Grade 5 ELA",3,3
"000022000000","JEFFERSON County",2014,"Grade 6 ELA",1,1
"000022000000","JEFFERSON County",2014,"Grade 7 ELA",1,1
"000024000000","LIVINGSTON County",2014,"Grade 3 ELA",1,1
"000024000000","LIVINGSTON County",2014,"Grade 5 ELA",1,1
"000025000000","MADISON County",2014,"Grade 4 ELA",1,1
"000000000004","High Need/Resource Rural Districts",2014,"Grade 3 ELA",8,7
"000014000000","ERIE County",2014,"Grade 3 ELA",69,60
"000014000000","ERIE County",2014,"Grade 4 ELA",57,53
"000014000000","ERIE County",2014,"Grade 5 ELA",60,56
"000014000000","ERIE County",2014,"Grade 6 ELA",59,55
"000014000000","ERIE County",2014,"Grade 7 ELA",57,56
"000025000000","MADISON County",2014,"Grade 8 ELA",1,1
"000026000000","MONROE County",2014,"Grade 7 ELA",37,34
"000026000000","MONROE County",2014,"Grade 6 ELA",40,38
"000026000000","MONROE County",2014,"Grade 8 ELA",39,37
"000026000000","MONROE County",2014,"Grade 4 ELA",65,64
"000026000000","MONROE County",2014,"Grade 3 ELA",46,45
"000026000000","MONROE County",2014,"Grade 5 ELA",56,53
"000028000000","NASSAU County",2014,"Grade 3 ELA",102,102
"000028000000","NASSAU County",2014,"Grade 4 ELA",82,80
"000028000000","NASSAU County",2014,"Grade 5 ELA",98,96
"000028000000","NASSAU County",2014,"Grade 6 ELA",108,106
"000028000000","NASSAU County",2014,"Grade 7 ELA",124,122
"000028000000","NASSAU County",2014,"Grade 8 ELA",126,123
"000032000000","BRONX County",2014,"Grade 3 ELA",326,315
"000032000000","BRONX County",2014,"Grade 4 ELA",304,294
"000032000000","BRONX County",2014,"Grade 5 ELA",311,303
"000032000000","BRONX County",2014,"Grade 6 ELA",325,316
"000032000000","BRONX County",2014,"Grade 7 ELA",332,314
"000032000000","BRONX County",2014,"Grade 8 ELA",329,315
"000014000000","ERIE County",2014,"Grade 8 ELA",79,70
"000027000000","MONTGOMERY County",2014,"Grade 8 ELA",2,2
"000031000000","NEW YORK County",2014,"Grade 6 ELA",133,133
"000031000000","NEW YORK County",2014,"Grade 3 ELA",131,128
"000031000000","NEW YORK County",2014,"Grade 4 ELA",137,134
"000031000000","NEW YORK County",2014,"Grade 7 ELA",143,140
"000031000000","NEW YORK County",2014,"Grade 8 ELA",135,129
"000031000000","NEW YORK County",2014,"Grade 5 ELA",156,154
"000033000000","KINGS County",2014,"Grade 6 ELA",305,298
"000033000000","KINGS County",2014,"Grade 7 ELA",321,316
"000033000000","KINGS County",2014,"Grade 5 ELA",310,300
"000033000000","KINGS County",2014,"Grade 4 ELA",325,319
"000033000000","KINGS County",2014,"Grade 3 ELA",373,361
"000033000000","KINGS County",2014,"Grade 8 ELA",325,320
"000034000000","QUEENS County",2014,"Grade 8 ELA",317,314
"000034000000","QUEENS County",2014,"Grade 3 ELA",356,349
"000035000000","RICHMOND County",2014,"Grade 4 ELA",18,17
"000035000000","RICHMOND County",2014,"Grade 8 ELA",26,23
"000035000000","RICHMOND County",2014,"Grade 7 ELA",19,18
"000035000000","RICHMOND County",2014,"Grade 5 ELA",25,24
"000035000000","RICHMOND County",2014,"Grade 3 ELA",14,14
"000035000000","RICHMOND County",2014,"Grade 6 ELA",19,16
"000040000000","NIAGARA County",2014,"Grade 3 ELA",5,5
"000040000000","NIAGARA County",2014,"Grade 4 ELA",1,1
"000040000000","NIAGARA County",2014,"Grade 5 ELA",2,2
"000040000000","NIAGARA County",2014,"Grade 6 ELA",4,4
"000040000000","NIAGARA County",2014,"Grade 7 ELA",2,2
"000041000000","ONEIDA County",2014,"Grade 6 ELA",16,16
"000041000000","ONEIDA County",2014,"Grade 7 ELA",14,14
"000041000000","ONEIDA County",2014,"Grade 4 ELA",12,12
"000041000000","ONEIDA County",2014,"Grade 3 ELA",19,19
"000041000000","ONEIDA County",2014,"Grade 8 ELA",20,20
"000041000000","ONEIDA County",2014,"Grade 5 ELA",17,17
"000042000000","ONONDAGA County",2014,"Grade 3 ELA",30,24
"000042000000","ONONDAGA County",2014,"Grade 4 ELA",35,31
"000042000000","ONONDAGA County",2014,"Grade 5 ELA",23,21
"000042000000","ONONDAGA County",2014,"Grade 6 ELA",40,31
"000042000000","ONONDAGA County",2014,"Grade 7 ELA",20,19
"000042000000","ONONDAGA County",2014,"Grade 8 ELA",31,27
"000043000000","ONTARIO County",2014,"Grade 4 ELA",1,0
"000043000000","ONTARIO County",2014,"Grade 7 ELA",1,1
"000044000000","ORANGE County",2014,"Grade 3 ELA",12,12
"000044000000","ORANGE County",2014,"Grade 8 ELA",9,9
"000044000000","ORANGE County",2014,"Grade 7 ELA",11,11
"000044000000","ORANGE County",2014,"Grade 6 ELA",9,8
"000044000000","ORANGE County",2014,"Grade 4 ELA",16,16
"000044000000","ORANGE County",2014,"Grade 5 ELA",16,16
"000045000000","ORLEANS County",2014,"Grade 3 ELA",1,0
"000034000000","QUEENS County",2014,"Grade 4 ELA",342,335
"000034000000","QUEENS County",2014,"Grade 5 ELA",339,333
"000034000000","QUEENS County",2014,"Grade 6 ELA",374,364
"000046000000","OSWEGO County",2014,"Grade 3 ELA",2,2
"000046000000","OSWEGO County",2014,"Grade 4 ELA",2,2
"000046000000","OSWEGO County",2014,"Grade 8 ELA",1,1
"000047000000","OTSEGO County",2014,"Grade 3 ELA",1,1
"000047000000","OTSEGO County",2014,"Grade 8 ELA",1,1
"000048000000","PUTNAM County",2014,"Grade 4 ELA",3,3
"000048000000","PUTNAM County",2014,"Grade 8 ELA",4,4
"000048000000","PUTNAM County",2014,"Grade 3 ELA",8,8
"000048000000","PUTNAM County",2014,"Grade 7 ELA",1,1
"000048000000","PUTNAM County",2014,"Grade 5 ELA",1,1
"000049000000","RENSSELAER County",2014,"Grade 3 ELA",6,5
"000049000000","RENSSELAER County",2014,"Grade 4 ELA",6,6
"000049000000","RENSSELAER County",2014,"Grade 5 ELA",5,5
"000049000000","RENSSELAER County",2014,"Grade 6 ELA",2,1
"000049000000","RENSSELAER County",2014,"Grade 7 ELA",3,3
"000049000000","RENSSELAER County",2014,"Grade 8 ELA",4,4
"000050000000","ROCKLAND County",2014,"Grade 6 ELA",27,27
"000050000000","ROCKLAND County",2014,"Grade 7 ELA",34,33
"000050000000","ROCKLAND County",2014,"Grade 5 ELA",38,36
"000050000000","ROCKLAND County",2014,"Grade 4 ELA",32,32
"000050000000","ROCKLAND County",2014,"Grade 3 ELA",23,21
"000050000000","ROCKLAND County",2014,"Grade 8 ELA",26,25
"000051000000","ST. LAWRENCE County",2014,"Grade 5 ELA",1,1
"000051000000","ST. LAWRENCE County",2014,"Grade 8 ELA",2,2
"000052000000","SARATOGA County",2014,"Grade 3 ELA",6,6
"000052000000","SARATOGA County",2014,"Grade 4 ELA",6,6
"000052000000","SARATOGA County",2014,"Grade 5 ELA",2,2
"000052000000","SARATOGA County",2014,"Grade 6 ELA",4,3
"000052000000","SARATOGA County",2014,"Grade 7 ELA",5,5
"000052000000","SARATOGA County",2014,"Grade 8 ELA",1,1
"000053000000","SCHENECTADY County",2014,"Grade 3 ELA",1,1
"000053000000","SCHENECTADY County",2014,"Grade 8 ELA",3,3
"000053000000","SCHENECTADY County",2014,"Grade 7 ELA",3,3
"000053000000","SCHENECTADY County",2014,"Grade 4 ELA",3,3
"000053000000","SCHENECTADY County",2014,"Grade 5 ELA",1,1
"000053000000","SCHENECTADY County",2014,"Grade 6 ELA",2,2
"000056000000","SENECA County",2014,"Grade 4 ELA",1,1
"000057000000","STEUBEN County",2014,"Grade 3 ELA",1,1
"000057000000","STEUBEN County",2014,"Grade 4 ELA",1,1
"000058000000","SUFFOLK County",2014,"Grade 6 ELA",136,135
"000058000000","SUFFOLK County",2014,"Grade 7 ELA",190,186
"000058000000","SUFFOLK County",2014,"Grade 5 ELA",138,137
"000058000000","SUFFOLK County",2014,"Grade 4 ELA",111,109
"000058000000","SUFFOLK County",2014,"Grade 3 ELA",125,123
"000058000000","SUFFOLK County",2014,"Grade 8 ELA",191,188
"000059000000","SULLIVAN County",2014,"Grade 3 ELA",4,4
"000059000000","SULLIVAN County",2014,"Grade 4 ELA",6,6
"000059000000","SULLIVAN County",2014,"Grade 5 ELA",4,4
"000059000000","SULLIVAN County",2014,"Grade 6 ELA",2,2
"000059000000","SULLIVAN County",2014,"Grade 7 ELA",6,6
"000059000000","SULLIVAN County",2014,"Grade 8 ELA",6,6
"000061000000","TOMPKINS County",2014,"Grade 7 ELA",4,4
"000061000000","TOMPKINS County",2014,"Grade 6 ELA",3,3
"000061000000","TOMPKINS County",2014,"Grade 8 ELA",2,2
"000061000000","TOMPKINS County",2014,"Grade 3 ELA",4,4
"000061000000","TOMPKINS County",2014,"Grade 4 ELA",8,8
"000061000000","TOMPKINS County",2014,"Grade 5 ELA",6,6
"000062000000","ULSTER County",2014,"Grade 4 ELA",2,1
"000062000000","ULSTER County",2014,"Grade 5 ELA",1,1
"000062000000","ULSTER County",2014,"Grade 6 ELA",5,5
"000062000000","ULSTER County",2014,"Grade 7 ELA",5,5
"000062000000","ULSTER County",2014,"Grade 8 ELA",4,4
"000062000000","ULSTER County",2014,"Grade 3 ELA",3,3
"000063000000","WARREN County",2014,"Grade 3 ELA",1,1
"000063000000","WARREN County",2014,"Grade 4 ELA",1,1
"000065000000","WAYNE County",2014,"Grade 3 ELA",1,1
"000065000000","WAYNE County",2014,"Grade 8 ELA",2,2
"000065000000","WAYNE County",2014,"Grade 7 ELA",1,1
"000065000000","WAYNE County",2014,"Grade 5 ELA",2,2
"000065000000","WAYNE County",2014,"Grade 6 ELA",4,4
"000066000000","WESTCHESTER County",2014,"Grade 3 ELA",86,86
"000066000000","WESTCHESTER County",2014,"Grade 4 ELA",98,95
"000066000000","WESTCHESTER County",2014,"Grade 5 ELA",70,67
"000066000000","WESTCHESTER County",2014,"Grade 6 ELA",75,74
"000066000000","WESTCHESTER County",2014,"Grade 7 ELA",67,67
"000066000000","WESTCHESTER County",2014,"Grade 8 ELA",95,93
"000068000000","YATES County",2014,"Grade 8 ELA",1,1
"010100010000","ALBANY CITY SCHOOL DISTRICT",2014,"Grade 7 ELA",14,13
"010100010000","ALBANY CITY SCHOOL DISTRICT",2014,"Grade 6 ELA",11,11
"010100010000","ALBANY CITY SCHOOL DISTRICT",2014,"Grade 8 ELA",10,10
"010100010000","ALBANY CITY SCHOOL DISTRICT",2014,"Grade 4 ELA",10,10
"010100010000","ALBANY CITY SCHOOL DISTRICT",2014,"Grade 3 ELA",9,8
"010100010000","ALBANY CITY SCHOOL DISTRICT",2014,"Grade 5 ELA",8,8
"010100010016","PINE HILLS ELEMENTARY SCHOOL",2014,"Grade 4 ELA",1,1
"010100010016","PINE HILLS ELEMENTARY SCHOOL",2014,"Grade 5 ELA",1,1
"010100010016","PINE HILLS ELEMENTARY SCHOOL",2014,"Grade 6 ELA",3,3
"010100010018","DELAWARE COMMUNITY SCHOOL",2014,"Grade 3 ELA",2,1
"010100010018","DELAWARE COMMUNITY SCHOOL",2014,"Grade 4 ELA",1,1
"010100010018","DELAWARE COMMUNITY SCHOOL",2014,"Grade 5 ELA",1,1
"010100010019","NEW SCOTLAND ELEMENTARY SCHOOL",2014,"Grade 5 ELA",2,2
"010100010020","NORTH ALBANY ACADEMY",2014,"Grade 3 ELA",1,1
"010100010020","NORTH ALBANY ACADEMY",2014,"Grade 7 ELA",1,1
"010100010027","EAGLE POINT ELEMENTARY SCHOOL",2014,"Grade 5 ELA",1,1
"010100010027","EAGLE POINT ELEMENTARY SCHOOL",2014,"Grade 6 ELA",4,4
"010100010027","EAGLE POINT ELEMENTARY SCHOOL",2014,"Grade 3 ELA",2,2
"010100010028","THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY",2014,"Grade 4 ELA",2,2
"010100010028","THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY",2014,"Grade 5 ELA",1,1
"010100010029","GIFFEN MEMORIAL ELEMENTARY SCHOOL",2014,"Grade 4 ELA",2,2
"010100010030","WILLIAM S HACKETT MIDDLE SCHOOL",2014,"Grade 6 ELA",2,2
"010100010030","WILLIAM S HACKETT MIDDLE SCHOOL",2014,"Grade 7 ELA",12,11
"010100010030","WILLIAM S HACKETT MIDDLE SCHOOL",2014,"Grade 8 ELA",7,7
"010100010043","PHILIP J SCHUYLER ACHIEVEMENT ACADEMY",2014,"Grade 3 ELA",2,2
"010100010043","PHILIP J SCHUYLER ACHIEVEMENT ACADEMY",2014,"Grade 4 ELA",3,3
"010100010044","SHERIDAN PREPARATORY ACADEMY",2014,"Grade 3 ELA",2,2
"010100010044","SHERIDAN PREPARATORY ACADEMY",2014,"Grade 5 ELA",2,2
"010100010044","SHERIDAN PREPARATORY ACADEMY",2014,"Grade 4 ELA",1,1
"010100010045","STEPHEN AND HARRIET MYERS MIDDLE SCHOOL",2014,"Grade 6 ELA",2,2
"010100010045","STEPHEN AND HARRIET MYERS MIDDLE SCHOOL",2014,"Grade 7 ELA",1,1
"010100010045","STEPHEN AND HARRIET MYERS MIDDLE SCHOOL",2014,"Grade 8 ELA",3,3
"010100860976","BRIGHTER CHOICE CHARTER MIDDLE SCHOOL FOR BOYS",2014,"Grade 7 ELA",1,1
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT",2014,"Grade 4 ELA",1,1
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT",2014,"Grade 8 ELA",2,2
"010306060006","SLINGERLANDS ELEMENTARY SCHOOL",2014,"Grade 4 ELA",1,1
"010306060007","BETHLEHEM CENTRAL MIDDLE SCHOOL",2014,"Grade 8 ELA",2,2
"010500010000","COHOES CITY SCHOOL DISTRICT",2014,"Grade 7 ELA",1,1
"010500010000","COHOES CITY SCHOOL DISTRICT",2014,"Grade 6 ELA",1,1
"010500010008","COHOES MIDDLE SCHOOL",2014,"Grade 6 ELA",1,1
"010500010008","COHOES MIDDLE SCHOOL",2014,"Grade 7 ELA",1,1
"010601060000","SOUTH COLONIE CENTRAL SCHOOL DISTRICT",2014,"Grade 3 ELA",1,1
"010601060000","SOUTH COLONIE CENTRAL SCHOOL DISTRICT",2014,"Grade 4 ELA",1,1
"010601060000","SOUTH COLONIE CENTRAL SCHOOL DISTRICT",2014,"Grade 5 ELA",1,1
"010601060000","SOUTH COLONIE CENTRAL SCHOOL DISTRICT",2014,"Grade 6 ELA",1,1
"010601060000","SOUTH COLONIE CENTRAL SCHOOL DISTRICT",2014,"Grade 8 ELA",1,1
"010601060010","FOREST PARK ELEMENTARY SCHOOL",2014,"Grade 3 ELA",1,1
"010601060010","FOREST PARK ELEMENTARY SCHOOL",2014,"Grade 4 ELA",1,1
"010601060012","SAND CREEK MIDDLE SCHOOL",2014,"Grade 5 ELA",1,1
"010601060012","SAND CREEK MIDDLE SCHOOL",2014,"Grade 6 ELA",1,1
"010601060012","SAND CREEK MIDDLE SCHOOL",2014,"Grade 8 ELA",1,1
"010615020000","MENANDS UNION FREE SCHOOL DISTRICT",2014,"Grade 4 ELA",1,1
"010615020000","MENANDS UNION FREE SCHOOL DISTRICT",2014,"Grade 6 ELA",1,1
"010615020001","MENANDS SCHOOL",2014,"Grade 4 ELA",1,1
"010615020001","MENANDS SCHOOL",2014,"Grade 6 ELA",1,1
"010623060000","NORTH COLONIE CSD",2014,"Grade 4 ELA",3,3
"010623060000","NORTH COLONIE CSD",2014,"Grade 5 ELA",2,1
"010623060000","NORTH COLONIE CSD",2014,"Grade 7 ELA",3,3
"010623060000","NORTH COLONIE CSD",2014,"Grade 8 ELA",1,0
"010623060002","BLUE CREEK SCHOOL",2014,"Grade 4 ELA",1,1
"010623060002","BLUE CREEK SCHOOL",2014,"Grade 5 ELA",1,1
"010623060003","BOGHT HILLS SCHOOL",2014,"Grade 4 ELA",1,1
"010623060006","LATHAM RIDGE SCHOOL",2014,"Grade 5 ELA",1,0
"010623060007","LOUDONVILLE SCHOOL",2014,"Grade 4 ELA",1,1
"010623060009","SHAKER JUNIOR HIGH SCHOOL",2014,"Grade 7 ELA",3,3
"010623060009","SHAKER JUNIOR HIGH SCHOOL",2014,"Grade 8 ELA",1,0
"010802060000","GUILDERLAND CENTRAL SCHOOL DISTRICT",2014,"Grade 3 ELA",3,3
"010802060000","GUILDERLAND CENTRAL SCHOOL DISTRICT",2014,"Grade 4 ELA",6,6
"010802060000","GUILDERLAND CENTRAL SCHOOL DISTRICT",2014,"Grade 5 ELA",2,2
"010802060000","GUILDERLAND CENTRAL SCHOOL DISTRICT",2014,"Grade 6 ELA",4,4
"010802060000","GUILDERLAND CENTRAL SCHOOL DISTRICT",2014,"Grade 7 ELA",3,3
"010802060000","GUILDERLAND CENTRAL SCHOOL DISTRICT",2014,"Grade 8 ELA",2,2
"010802060003","GUILDERLAND ELEMENTARY SCHOOL",2014,"Grade 3 ELA",1,1
"010802060003","GUILDERLAND ELEMENTARY SCHOOL",2014,"Grade 4 ELA",2,2
"010802060004","WESTMERE ELEMENTARY SCHOOL",2014,"Grade 5 ELA",2,2
"010802060004","WESTMERE ELEMENTARY SCHOOL",2014,"Grade 4 ELA",2,2
"010802060004","WESTMERE ELEMENTARY SCHOOL",2014,"Grade 3 ELA",2,2
"010802060008","FARNSWORTH MIDDLE SCHOOL",2014,"Grade 7 ELA",3,3
"010802060008","FARNSWORTH MIDDLE SCHOOL",2014,"Grade 8 ELA",2,2
"010802060008","FARNSWORTH MIDDLE SCHOOL",2014,"Grade 6 ELA",4,4
"010802060009","PINE BUSH ELEMENTARY SCHOOL",2014,"Grade 4 ELA",2,2
"011003060000","VOORHEESVILLE CENTRAL SCHOOL DISTRICT",2014,"Grade 3 ELA",1,1
"011003060000","VOORHEESVILLE CENTRAL SCHOOL DISTRICT",2014,"Grade 6 ELA",1,1
"011003060001","VOORHEESVILLE ELEMENTARY SCHOOL",2014,"Grade 3 ELA",1,1
"011003060003","VOORHEESVILLE MIDDLE SCHOOL",2014,"Grade 6 ELA",1,1
"011200010000","WATERVLIET CITY SCHOOL DISTRICT",2014,"Grade 8 ELA",3,3
"011200010000","WATERVLIET CITY SCHOOL DISTRICT",2014,"Grade 3 ELA",1,1
"011200010000","WATERVLIET CITY SCHOOL DISTRICT",2014,"Grade 6 ELA",1,1
"011200010002","WATERVLIET ELEMENTARY SCHOOL",2014,"Grade 3 ELA",1,1
"011200010002","WATERVLIET ELEMENTARY SCHOOL",2014,"Grade 6 ELA",1,1
"011200010010","WATERVLIET JUNIOR-SENIOR HIGH SCHOOL",2014,"Grade 8 ELA",3,3
"030200010000","BINGHAMTON CITY SCHOOL DISTRICT",2014,"Grade 3 ELA",3,3
"030200010000","BINGHAMTON CITY SCHOOL DISTRICT",2014,"Grade 4 ELA",3,3
"030200010000","BINGHAMTON CITY SCHOOL DISTRICT",2014,"Grade 5 ELA",4,4
"030200010000","BINGHAMTON CITY SCHOOL DISTRICT",2014,"Grade 6 ELA",3,3
"030200010000","BINGHAMTON CITY SCHOOL DISTRICT",2014,"Grade 7 ELA",2,2
"030200010000","BINGHAMTON CITY SCHOOL DISTRICT",2014,"Grade 8 ELA",1,1
"030200010005","BENJAMIN FRANKLIN ELEMENTARY SCHOOL",2014,"Grade 5 ELA",2,2
"030200010005","BENJAMIN FRANKLIN ELEMENTARY SCHOOL",2014,"Grade 3 ELA",2,2
"030200010005","BENJAMIN FRANKLIN ELEMENTARY SCHOOL",2014,"Grade 4 ELA",3,3
"030200010014","WOODROW WILSON SCHOOL",2014,"Grade 5 ELA",2,2
