"DISTRICT_BEDS","DISTRICT_NAME","DISTRICT_NEEDS","PER_PUPIL_EXPENDITURE","DISTRICT_ID","HEDI"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3000675","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3001004","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3001011","Developing"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3001831","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3002234","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3002376","Developing"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3003726","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3003961","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3004650","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3005286","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3006304","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3006310","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3006758","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3006782","Developing"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3006795","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3007192","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3007906","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3007925","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3008712","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3008738","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3008798","Developing"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3009190","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3009931","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3010007","Developing"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3010174","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3010315","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3010435","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3010583","Developing"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3010846","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3010975","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3011149","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3011314","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3012594","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3012987","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3013375","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3013653","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3014919","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3014992","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3015612","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3016491","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3016638","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3016694","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3017774","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3018467","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3018692","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3018723","Developing"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3019783","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3020115","Developing"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3020526","Developing"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3020690","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3021326","Developing"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3021669","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3021770","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3022460","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3022656","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3023044","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3023458","Developing"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3024587","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3024648","Developing"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3024736","Developing"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3024772","Developing"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3024964","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3025017","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3025233","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3025597","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3025742","Developing"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3025973","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3026080","Developing"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3026122","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3026511","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3026698","Developing"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3026848","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3027208","Developing"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3027566","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3027775","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3027909","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3028432","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3028796","Developing"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3028918","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3029036","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3029133","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3029451","Developing"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3030344","Developing"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3030474","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3030717","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3031221","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3031376","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3031443","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3032368","Developing"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3033110","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3033410","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3033546","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3034139","Developing"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3034671","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3035071","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3035232","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3035269","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3035386","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3036050","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3036158","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3036393","Developing"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3037172","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3037273","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3037519","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3037700","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3037787","Developing"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3037984","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3038629","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3038664","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3039083","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3039436","Developing"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3039788","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3039917","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3040286","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3040437","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3040468","Developing"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3040635","Developing"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3040991","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3041160","Ineffective"
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3000544","Suppressed"
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3005344","Suppressed"
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3008475","Suppressed"
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3009205","Suppressed"
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3010352","Suppressed"
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3015497","Suppressed"
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3016111","Suppressed"
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3020217","Suppressed"
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3020346","Suppressed"
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3020850","Suppressed"
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3020927","Suppressed"
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3029929","Suppressed"
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3030444","Suppressed"
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3032244","Suppressed"
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3034988","Suppressed"
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3035083","Suppressed"
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3035922","Suppressed"
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3038476","Suppressed"
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3038554","Suppressed"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3000065","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3000210","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3000939","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3001644","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3002091","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3002140","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3003368","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3003377","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3004852","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3005347","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3005506","Suppressed"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3005701","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3007860","Suppressed"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3008864","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3009202","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3009251","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3009893","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3011566","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3012623","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3013488","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3014110","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3014330","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3014410","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3014599","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3014851","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3016331","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3017381","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3017522","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3017792","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3018365","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3018878","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3019267","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3019439","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3019489","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3021024","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3022503","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3023678","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3024051","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3024915","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3025446","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3025946","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3026019","Suppressed"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3026569","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3026926","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3027044","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3027061","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3027126","Suppressed"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3027322","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3028327","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3028616","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3028659","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3029351","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3030263","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3031414","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3031833","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3032113","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3032362","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3033107","Suppressed"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3033401","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3034456","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3034793","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3035043","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3036357","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3037583","Effective"
"010306060000","BETHLEHEM CENTRAL SCHOOL DISTRICT","Low Needs","High","3038860","Effective"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3000135","Effective"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3001070","Effective"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3003528","Effective"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3004422","Effective"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3005564","Effective"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3006465","Suppressed"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3006573","Effective"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3006588","Effective"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3007296","Suppressed"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3007721","Effective"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3008477","Effective"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3009229","Suppressed"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3011642","Suppressed"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3011990","Suppressed"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3013280","Suppressed"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3013290","Effective"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3014660","Effective"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3014673","Effective"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3015036","Effective"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3015892","Effective"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3017401","Effective"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3018298","Suppressed"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3018586","Effective"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3020565","Effective"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3022266","Effective"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3022873","Effective"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3025269","Effective"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3027317","Effective"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3027778","Effective"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3028945","Effective"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3029684","Effective"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3029921","Effective"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3031240","Effective"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3031454","Suppressed"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3032807","Effective"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3035384","Effective"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3037085","Effective"
"010402060000","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","Average Needs","Medium","3039511","Suppressed"
"010500010000","COHOES CITY SCHOOL DISTRICT","Urban-Suburban High Needs","High","3002769","Suppressed"
"010500010000","COHOES CITY SCHOOL DISTRICT","Urban-Suburban High Needs","High","3002956","Suppressed"
"010500010000","COHOES CITY SCHOOL DISTRICT","Urban-Suburban High Needs","High","3003607","Suppressed"
"010500010000","COHOES CITY SCHOOL DISTRICT","Urban-Suburban High Needs","High","3003742","Suppressed"
"010500010000","COHOES CITY SCHOOL DISTRICT","Urban-Suburban High Needs","High","3005746","Suppressed"
"010500010000","COHOES CITY SCHOOL DISTRICT","Urban-Suburban High Needs","High","3007902","Suppressed"
"010500010000","COHOES CITY SCHOOL DISTRICT","Urban-Suburban High Needs","High","3012688","Suppressed"
"010500010000","COHOES CITY SCHOOL DISTRICT","Urban-Suburban High Needs","High","3014354","Suppressed"
"010500010000","COHOES CITY SCHOOL DISTRICT","Urban-Suburban High Needs","High","3014519","Suppressed"
"010500010000","COHOES CITY SCHOOL DISTRICT","Urban-Suburban High Needs","High","3016778","Suppressed"
"010500010000","COHOES CITY SCHOOL DISTRICT","Urban-Suburban High Needs","High","3016962","Suppressed"
"010500010000","COHOES CITY SCHOOL DISTRICT","Urban-Suburban High Needs","High","3017988","Suppressed"
"010500010000","COHOES CITY SCHOOL DISTRICT","Urban-Suburban High Needs","High","3018241","Suppressed"
